MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,Chroma_STFT,Age,Gender
-434.52588,131.43845,-19.945963,28.350117,6.8241425,-5.853072,9.115431,-24.736843,-15.608563,0.6549721,-8.988516,-1.6863431,-3.0831814,-6.4401884,-2.6869857,-6.030446,-4.504027,-3.4422922,-8.926197,-5.7207637,0.026944889,2215.758663343656,1938.9572940984776,4023.9093959731545,0.06467159535794184,0.37501064,20,0
-442.5729,171.89943,34.842052,11.47661,18.262733,6.944705,6.933992,4.279664,-0.8186038,2.3801358,-1.8802545,-9.261338,-7.9957156,-5.092141,-3.0567558,-1.0892038,-0.8772242,-1.6941742,-4.0246124,-4.8301916,0.04781596,931.7373386693235,1171.7731572726505,1779.2410714285713,0.02122550843253968,0.48867783,20,1
-466.58493,160.96385,-11.797687,13.846097,25.802654,0.7896134,2.6289492,-6.64436,-9.592251,-2.322268,-3.716387,-6.7423077,-8.406723,-6.821663,-10.036134,-8.904537,2.3535244,-4.1470656,-16.674215,-9.950385,0.023687094,1428.0967496779601,1517.95957225337,2840.2206688596493,0.028991342288011698,0.37314776,21,0
-350.24875,168.76915,-25.7171,26.591955,22.914013,-11.281807,5.065984,-6.945994,-13.880738,-9.802431,-11.061673,-7.121539,-11.042724,-7.7884226,-3.615169,-13.125341,-8.081619,4.124297,-3.9264235,-8.929094,0.058607385,1863.3504195385603,1553.5428640876319,3279.590974903475,0.05721374276061776,0.41399068,21,1
-415.24152,98.4772,-21.64725,24.682178,-6.1394506,13.633408,-7.2762494,-0.13793425,-10.789034,-9.085947,-2.0953786,-14.043362,-5.979958,-6.8768835,-10.585594,-8.896767,-5.3133006,-11.185024,-8.852126,-9.910254,0.028589992,3318.5170946920366,3120.9218995796637,6152.705536912752,0.08650639681208054,0.3828348,22,0
-364.18292,181.36237,-17.824965,14.638862,23.631361,3.8832111,8.163237,11.621402,4.709203,-0.37003374,-6.186192,0.121314496,-4.2106137,-6.1367073,1.395582,1.3403989,-0.80071574,0.18882608,6.0563526,-2.6898046,0.041115426,1619.3977043058594,2147.747190172066,3109.6303863298663,0.03348172826894502,0.5248832,22,1
-312.91266,124.476135,-11.245976,11.433428,-12.457869,-15.829284,-7.908966,-9.358559,2.5295887,-15.412124,-21.120152,1.8198527,-10.411159,-5.5614295,-5.053298,-8.345996,1.4658251,-6.0944347,-3.7909014,-4.564121,0.05859594,2844.080571923442,3197.8386004090153,4996.637788240818,0.07453421718489149,0.3489394,23,0
-280.92502,145.66794,-6.8431654,46.87211,11.575135,-12.557308,13.351119,-12.691187,-9.5070715,0.57279295,-10.537886,-2.4310641,-4.9447684,-7.356631,1.396216,-6.363693,-7.4855933,5.993325,-2.2424994,-12.181448,0.1241761,2014.9804765944855,1966.4761176753063,3899.756065400844,0.06130230309423347,0.43974185,23,1
-578.80225,92.480125,-2.7613618,20.093721,24.172869,9.844415,3.4981167,-14.112039,-10.259703,-2.3264024,-7.331945,-1.0388283,1.3324132,-5.7911344,-5.4407163,-5.5412116,-7.3688912,-5.1182594,-8.662774,-9.461738,0.01134086,1996.2123473835893,1766.537728628007,3729.7788633651553,0.06375391557279236,0.45488134,24,0
-385.63907,172.78621,19.061232,18.693863,1.6508086,17.750698,-2.6500914,9.602985,13.852297,-10.786552,-5.7778316,13.124416,-2.7297807,-3.5958269,9.313769,-5.0753446,-0.64606494,-1.1442208,1.7584023,-4.03219,0.05424155,1718.9248286289821,2398.7040313324087,3087.877155172414,0.03615750718390805,0.56546974,24,1
